Name,ID,Club,Position,age,Projected_2017
Steve Johnson,334,GWS Giants,FWD,33,78.33931393
Nathan Jones,345,Melbourne,MID,29,102.3636364
James Kelly,350,Essendon,"DEF,MID",33,102.8785388
Josh Kennedy,351,West Coast Eagles,FWD,29,99.59090909
Josh Kennedy,352,Sydney Swans,MID,28,124
Nathan Krakouer,365,Port Adelaide,DEF,28,72.13333333
Mark LeCras,372,West Coast Eagles,FWD,30,82.36363636
Matthew Leuenberger,375,Essendon,RUC,28,78.85
Jordan Lewis,376,Melbourne,MID,30,112.5909091
Tom Lonergan,384,Geelong Cats,DEF,32,56.74612613
David Mackay,397,Adelaide Crows,MID,28,78
Eric MacKenzie,398,West Coast Eagles,DEF,28,72
Andrew Mackie,399,Geelong Cats,DEF,32,72.48049088
Jarrad McVeigh,432,Sydney Swans,DEF,31,86.84417625
Sam Mitchell,445,West Coast Eagles,MID,34,101.4819975
Angus Monfries,447,Port Adelaide,FWD,30,68
Leigh Montagna,448,St Kilda,DEF,33,94.62624951
Dale Morris,455,Western Bulldogs,DEF,34,71.83612185
David Mundy,461,Fremantle,MID,31,93.51653996
Marc Murphy,463,Carlton,MID,29,82.7
Danyle Pearce,497,Fremantle,MID,30,82.13636364
Scott Pendlebury,498,Collingwood,MID,29,126.4545455
Matt Priddis,517,West Coast Eagles,MID,31,111.3242882
Ben Reid,526,Collingwood,DEF,27,90.26469341
Nick Riewoldt,535,St Kilda,FWD,34,107.5558435
Jack Riewoldt,536,Richmond,FWD,28,86.18181818
Michael Rischitelli,538,Gold Coast Suns,MID,31,80.068365
Matt Rosa,548,Gold Coast Suns,MID,30,75.86666667
Jarryd Roughead,549,Hawthorn,FWD,30,100.6
Patrick Ryder,555,Port Adelaide,"RUC,FWD",28,90.44444444
Joel Selwood,575,Geelong Cats,MID,28,118.7727273
Heath Shaw,578,GWS Giants,DEF,31,107.1528014
Kade Simpson,587,Carlton,DEF,32,103.4286914
Nick Smith,594,Sydney Swans,DEF,28,70.66666667
Brent Stanton,602,Essendon,MID,30,110.1363636
Matthew Suckling,610,Western Bulldogs,DEF,28,83.2
Andrew Swallow,612,North Melbourne,MID,29,94.71428571
Dale Thomas,622,Carlton,MID,29,80.11111111
Lindsay Thomas,624,North Melbourne,FWD,28,63.61904762
Scott Thompson,625,Adelaide Crows,MID,33,93.14930138
Kurt Tippett,639,Sydney Swans,"RUC,FWD",29,92.21428571
Travis Varcoe,655,Collingwood,FWD,28,67.23529412
Bernie Vince,656,Melbourne,"DEF,MID",31,91.19636035
Jarrad Waite,659,North Melbourne,FWD,33,84.7235025
Jobe Watson,671,Essendon,MID,31,88.91312625
Sharrod Wellingham,676,West Coast Eagles,DEF,28,66.22222222
Daniel Wells,677,Collingwood,MID,31,93.72343503
Justin Westhoff,683,Port Adelaide,FWD,30,91.27272727
Matt White,688,Port Adelaide,"MID,FWD",29,62.27777778
Jesse White,689,Collingwood,FWD,29,79
Dennis Armfield,708,Carlton,FWD,30,68.06666667
Tom Bellchambers,715,Essendon,RUC,27,69.28684302
Craig Bird,716,Essendon,MID,28,94.25048499
Kyle Cheney,723,Adelaide Crows,DEF,27,72.29730076
Trent Cotchin,729,Richmond,MID,26,112.0193971
Ed Curnow,730,Carlton,MID,27,114.798789
Patrick Dangerfield,732,Geelong Cats,MID,26,136.978614
