#TYPE System.Management.Automation.PSCustomObject
"Name","ID","Club","Position","age","Projected_2017","2012_FirstHalf","2012_SecondHalf","2013_FirstHalf","2013_SecondHalf","2014_FirstHalf","2014_SecondHalf","2015_FirstHalf","2015_SecondHalf","2016_FirstHalf","2016_SecondHalf"
"Mitch Duncan","996","Geelong Cats","MID","25","100.7057825","92.1","78.0909090909091","84.1818181818182","90.9090909090909","103","103.6","87.75","94.2857142857143","101","97.2727272727273"
"Taylor Duryea","997","Hawthorn","DEF","25","79.86365869",,,"64.3636363636364","70.5714285714286","66.9","73.8","82.1111111111111","91.6666666666667","80","77.3636363636364"
"Max Gawn","1001","Melbourne","RUC","25","124.3931124",,,"82.5714285714286","64.3333333333333","68.8571428571429","54","109.454545454545","80.5","130.636363636364","114.272727272727"
"Ben Griffiths","1004","Richmond","FWD","25","78.0626984","41.5","50.6666666666667",,"51","68.3333333333333","65","57","70.625","81","73.2857142857143"
"Dylan Grimes","1005","Richmond","DEF","25","68.25113927","119","82.125","50.3333333333333","54.2","50.2727272727273","48.4285714285714","50.1","62.2857142857143","74.1818181818182","51.8"
"Jack Gunston","1007","Hawthorn","FWD","25","99.68995158","77.6363636363636","48.8","90.3333333333333","77.625","86.4","102","100.083333333333","101.3","92.4545454545455","103.818181818182"
"Ryan Harwood","1011","Brisbane Lions","DEF","25","63.5285023","73.5833333333333","54.75","75.2727272727273","68.5","93.3636363636364","64","74","13","43.5","66"
"Ben Howlett","1017","Essendon","MID,FWD","28","84.25","86.5","97.4545454545455","67.5555555555556","92.8","74.5","89.125","77.2222222222222","90",,
"Lewis Jetta","1021","West Coast Eagles","MID,FWD","27","56.29555995","73.5454545454545","90.5454545454545",,"64.8","78.5833333333333","74.8","77.2727272727273","85.1818181818182","53.6","56.4285714285714"
"Jamie Macmillan","1031","North Melbourne","DEF","25","85.79153776","66.75","63.8","80.7272727272727","76.1818181818182","56","67.3333333333333","94.4285714285714","83.4285714285714","92.2727272727273","76.6363636363636"
"Dustin Martin","1034","Richmond","MID","25","111.4643553","95.1111111111111","87","94.3333333333333","100.2","94.2727272727273","99.8","105.5","103.6","116.272727272727","103.181818181818"
"Jasper Pittard","1038","Port Adelaide","DEF","25","98.16620522","11",,"61.4545454545455","74.25","73.1666666666667","74","76.2222222222222","88.3636363636364","95.9090909090909","97.3636363636364"
"Jake Melksham","1041","Melbourne","MID","25","68.11710603","55","77","93","68.9","63.75","68.75","57.4285714285714","73.1818181818182",,
"Daniel Menzel","1042","Geelong Cats","FWD","25","79.95186809",,,,,,,"66",,"76.6666666666667","81"
"Sam Reid","1053","Sydney Swans","FWD","25","78.26735297","64.25","60","10","59.8888888888889","66.1818181818182","66.5","84.2727272727273","69.1",,
