#TYPE System.Management.Automation.PSCustomObject
"Name","ID","Club","Position","age","Projected_2017","2012_SecondHalf","2013_SecondHalf","2014_SecondHalf","2015_SecondHalf","2016_SecondHalf"
"Craig Bird","716","Essendon","MID","28","94.25048499","77.4090909090909","74.9","91.1666666666667","72","92.5"
"Kyle Cheney","723","Adelaide Crows","DEF","27","72.29730076","49.3333333333333","58","78.2222222222222","83.3","70.9545454545455"
"Trent Cotchin","729","Richmond","MID","26","112.0193971","123.636363636364","104.714285714286","111.318181818182","102.380952380952","110.55"
"Ed Curnow","730","Carlton","MID","27","114.798789","75.7222222222222","78.2631578947368","91.5333333333333","86.5909090909091","112.666666666667"
"Patrick Dangerfield","732","Geelong Cats","MID","26","136.978614","122.272727272727","117.1","110.590909090909","125.52380952381","135.181818181818"
"Ryan Davis","734","Gold Coast Suns","FWD","27","66.17644294",,,,,"64.9473684210526"
"Brad Ebert","738","Port Adelaide","MID","26","86.70881807","105.363636363636","104.772727272727","102.590909090909","105.863636363636","85.5714285714286"
"Jarrad Grant","743","Gold Coast Suns","FWD","27","61.29220728","67","76.5","54.25","64.3888888888889","60.1538461538462"
"Levi Greenwood","744","Collingwood","MID,FWD","27","83.26066009","49.6","95.5","106.421052631579","87.25","81.7142857142857"
"Pearce Hanley","748","Gold Coast Suns","MID","28","86.22727273","93.5909090909091","88.8","104.45","89.2727272727273","86.2272727272727"
"Lachie Henderson","751","Geelong Cats","DEF","27","87.00480206","71.2727272727273","83.0909090909091","75.8235294117647","67.0625","85.3888888888889"
"Cale Hooker","754","Essendon","DEF,FWD","28","96.40909091","79.5294117647059","92.8181818181818","93.7727272727273","96.4090909090909",
"Matthew Kreuzer","759","Carlton","RUC","27","82.77545811","92.05","100.375","66","95","81.2380952380952"
"Jeremy Laidler","760","Sydney Swans","DEF","27","63.72194952","67.5","44","59.4736842105263","66.6666666666667","62.5384615384615"
"Matthew Lobbe","761","Port Adelaide","RUC","27","79.47608464","75.6666666666667","86.7368421052632","100.380952380952","88.8235294117647","78"
"Stefan Martin","765","Brisbane Lions","RUC","30","102.2","85.2857142857143","52.4","118.916666666667","122.7","102.2"
"Chris Masten","766","West Coast Eagles","MID","27","75.19660316","86.2727272727273","104.736842105263","90.0952380952381","88.65","73.8"
"Chris Mayne","767","Collingwood","FWD","28","81.86363636","86.5714285714286","97.0952380952381","75.7619047619048","89.35","81.8636363636364"
"Ben McEvoy","769","Hawthorn","RUC","27","81.51393296","109.625","91.0454545454545","96.6666666666667","94.0666666666667","80"
"Shane Mumford","780","GWS Giants","RUC","30","101.8095238","96.9285714285714","95.6315789473684","106.823529411765","108.181818181818","101.809523809524"
"Rhys Palmer","788","Carlton","FWD","27","68.82369567","79.2666666666667","75.5454545454545","73.7058823529412","73.7857142857143","67.5454545454545"
"Alex Rance","794","Richmond","DEF","27","107.0889294","97.8636363636364","97.7727272727273","95.8823529411765","98.9545454545455","105.1"
"Cyril Rioli","796","Hawthorn","FWD","27","97.92397473","102.15","83.6923076923077","92.7272727272727","90.2","96.1052631578947"
